date,category,product_name,product_code,brand,product_id,amount,cost,profit
2023-01-01,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1392887,997835,395051
2023-01-01,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1203722,756652,447069
2023-01-01,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3744743,3044288,700454
2023-01-01,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3652902,2194455,1458446
2023-01-01,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,991601,750770,240830
2023-01-02,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3914536,3115267,799268
2023-01-02,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,1982762,1270828,711933
2023-01-02,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2496744,1740964,755779
2023-01-03,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1924465,1375315,549149
2023-01-03,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4617523,3624253,993269
2023-01-03,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3081197,2602192,479004
2023-01-04,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4396566,3381736,1014829
2023-01-04,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1242872,800272,442599
2023-01-04,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3363448,2169277,1194170
2023-01-04,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3086605,2099233,987371
2023-01-04,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1827419,1130605,696813
2023-01-05,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,2479474,1667774,811699
2023-01-05,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2881618,2305717,575900
2023-01-05,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3122546,2335569,786976
2023-01-05,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3118858,2453345,665512
2023-01-06,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3434074,2612193,821880
2023-01-06,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3342801,2491531,851269
2023-01-07,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1720213,1204531,515681
2023-01-07,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2486677,2096244,390432
2023-01-08,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3328775,2713899,614875
2023-01-08,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3352037,2101746,1250290
2023-01-08,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2761480,2028505,732974
2023-01-09,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,1922311,1270248,652062
2023-01-09,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1416020,886949,529070
2023-01-09,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3163449,2440914,722534
2023-01-09,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4561741,2998866,1562874
2023-01-10,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2377877,1653039,724837
2023-01-10,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,2605176,1776513,828662
2023-01-10,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1404150,1110323,293826
2023-01-10,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4273202,3457612,815589
2023-01-10,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2762348,2128259,634088
2023-01-11,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4900950,3091452,1809497
2023-01-11,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2635354,2172355,462998
2023-01-11,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4378271,3305608,1072662
2023-01-11,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4752340,3488056,1264283
2023-01-11,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3201372,2584162,617209
2023-01-12,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1094532,657741,436790
2023-01-12,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3028177,1894348,1133828
2023-01-12,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,2964432,2307686,656745
2023-01-12,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4160815,2698457,1462357
2023-01-12,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3749606,3087114,662491
2023-01-13,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4282964,2756953,1526010
2023-01-13,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,1895837,1305518,590318
2023-01-13,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4770745,3624258,1146486
2023-01-13,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3149745,2117052,1032692
2023-01-14,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,2272092,1440770,831321
2023-01-14,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3072568,2228452,844115
2023-01-14,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3065824,1920601,1145222
2023-01-15,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3403773,2128222,1275550
2023-01-15,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1705456,1263419,442036
2023-01-16,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2897173,2367724,529448
2023-01-16,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1235437,749524,485912
2023-01-16,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4619900,3049164,1570735
2023-01-16,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2633212,1643927,989284
2023-01-17,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,889129,599198,289930
2023-01-17,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3796649,2684977,1111671
2023-01-17,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1374870,1057164,317705
2023-01-18,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,2253766,1782890,470875
2023-01-18,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3696231,2725036,971194
2023-01-18,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2587169,1660729,926439
2023-01-18,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,2909426,1976235,933190
2023-01-18,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3247229,2128166,1119062
2023-01-19,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4784864,3169728,1615135
2023-01-19,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3560457,2386524,1173932
2023-01-19,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,2022865,1569323,453541
2023-01-19,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1652743,1004468,648274
2023-01-19,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4761744,3150010,1611733
2023-01-20,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1712440,1272568,439871
2023-01-20,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2264353,1706458,557894
2023-01-20,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3475152,2940814,534337
2023-01-21,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,802168,650677,151490
2023-01-21,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2139068,1546721,592346
2023-01-22,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2595553,1620740,974812
2023-01-22,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1608756,1238615,370140
2023-01-23,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,4579539,3294552,1284986
2023-01-23,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,946640,738781,207858
2023-01-23,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,2186546,1327058,859487
2023-01-24,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3764803,2589185,1175617
2023-01-24,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,771485,605961,165523
2023-01-24,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3812506,2841128,971377
2023-01-24,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1206661,733212,473448
2023-01-24,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2149886,1629778,520107
2023-01-25,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,2359508,1473254,886253
2023-01-25,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,3551487,2783060,768426
2023-01-25,DienMay,MayGiatCuaNgang,MG03,LG,MayGiatCuaNgang_MG03-LG,3135439,2266564,868874
2023-01-25,DienMay,TuLanhMini,TL02,Aqua,TuLanhMini_TL02-Aqua,2123550,1772489,351060
2023-01-26,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4758997,2979116,1779880
2023-01-26,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3239553,2236230,1003322
2023-01-27,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,3243987,2716274,527712
2023-01-27,DienMay,NoiChienKhongDau,NC04,Philips,NoiChienKhongDau_NC04-Philips,1399611,975806,423804
2023-01-27,DienMay,MayLanhInverter,ML01,Daikin,MayLanhInverter_ML01-Daikin,4701675,3715495,986179
2023-01-28,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,3270266,2391114,879151
2023-01-28,DienMay,MayLocKhongKhi,LK05,Sharp,MayLocKhongKhi_LK05-Sharp,1838565,1298402,540162
